id;title;x_pos;y_pos;width;height;shape;creator;num;comment;timestamp;modifiable;text_scale;CAM;resizable
39679;Truely human in the loop;61.0;536.0;140.0;75.0;neutral;1479;42.0;;;1;14.0;2528;0
39678;Neue Formen der AUtoamtisierung der Medizin;701.0;20.0;140.0;75.0;neutral;1479;41.0;;12:26:21;1;14.0;2528;0
39677;Ermöglicht erst Automatisierung in der Pflege;469.0;226.0;140.0;75.0;neutral;1479;40.0;;;1;14.0;2528;0
39676;Ermöglicht erst Automatisierung im Handwerk;121.0;20.0;140.0;75.0;neutral;1479;39.0;;12:30:54;1;14.0;2528;0
39675;Neue Problemlösungsstrategien;507.0;55.0;140.0;75.0;positive strong;1479;38.0;;12:30:58;1;14.0;2528;0
39674;Beyond der Ironie der Automation;1019.0;341.0;140.0;75.0;positive strong;1479;37.0;;12:36:10;1;14.0;2528;0
39673;Anwendung im Bereich Manueller Tätigkeiten;346.0;42.0;140.0;75.0;positive strong;1479;36.0;;12:31:06;1;14.0;2528;0
39672;Optimale Balance zwischen Autonomie und Kontrolle;1058.0;475.0;140.0;75.0;positive;1479;34.0;;;1;14.0;2528;0
39671;Selbstwirksamkeit;873.0;38.0;140.0;75.0;positive strong;1479;33.0;;10:11:27;1;14.0;2528;0
39670;Automatic task allocation;262.0;381.0;140.0;75.0;neutral;1479;26.0;;;1;14.0;2528;0
39669;Verlust der eigenen Identität. Freie Entscheidung;1215.0;275.2;128.663;68.0;negative strong;1479;24.0;;10:05:39;1;14.0;2528;0
39668;Misstrauen ;1352.0;162.0;140.0;75.0;negative strong;1479;23.0;;12:36:01;1;14.0;2528;0
39667;Vertrauen;1257.0;31.8;173.45;92.0;positive strong;1479;22.0;;12:35:52;1;14.0;2528;0
39666;natürlich Kommunikation der Maschine;251.0;510.0;138.0;73.0;neutral;1479;19.0;;10:08:22;1;14.0;2528;0
39665;Wechselseitig Lernend;40.9875;114.0;140.0;75.0;neutral;1479;18.0;;10:06:57;1;14.0;2528;0
39664;optimale Nutzung der Ressourcen;1271.0;567.0;123.05;65.0;positive;1479;17.0;;10:00:47;1;15.3491858230814;2528;0
39663;keine vollständige Kontrolle;1617.0;40.0;136.125;72.0;negative;1479;15.0;;10:04:29;1;14.0;2528;0
39662;Maschine ist intuitiv;72.0;427.0;140.0;75.0;positive strong;1479;13.0;;09:59:37;1;14.0;2528;0
39661;Maschine ist intelligent;84.0;302.0;132.4;70.0;positive weak;1479;12.0;;09:59:34;1;14.0;2528;0
39658;dynamisch und adaptiv;268.0;210.0;140.0;75.0;neutral;1479;9.0;;10:00:14;1;14.0;2528;0
39657;Überschreiten Maschineller Fähigkeiten;579.0;486.0;141.725;75.0;positive weak;1479;7.0;;;1;14.0;2528;0
39656;Überschreitung menschlicher Fähigkeiten;801.0;462.0;140.0;75.0;positive weak;1479;6.0;;10:03:07;1;14.0;2528;0
39655;Bereichernd;1067.0;20.0;149.2;79.0;positive weak;1479;4.0;;09:55:38;1;14.0;2528;0
39653;HMS;656.0;220.0;317.2;169.0;positive strong;1479;2.0;;10:01:01;1;24.6665056749577;2528;0